Coding,Message
Community,"We have been involved in inspections and reports of this particular tour provider for MONTHS and MONTHS. They somehow have been able to go around government officials and maintain open. Futhermore, asking tourists to be responsible is the least they can do. If we continue to have this type of unsustainable tourism WE WILL HAVE NO TOURISM in the next couple decades. Would you rather not have a dive destination next time you chose to visit?"
Community,Thank you to the diveshops that came out! We had 19 attendees from 6 shops :)  Tyll's Dive  Roatan Divers Coconut Tree Divers & Go Pro Caribbean Island Diving Center Roatan Dive Center West End Divers
Action,"Once all the entries are in, closing is midnight on Monday 15th of July, we will create the best find album where the winners will be decided by you. The photos with the most likes by July 31st will win. Good luck and please send you entries in if you haven't yet"
Information,"We are so happy! We were notified that our official tax-exempt status was approved for ""Roatan Marine Park International, Inc""! We are now a US Non-Profit with Public Charity 501(c)(3) status! More information coming soon. :) :)"
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses outside the SBWEMR between January and April 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Action,"As part of the regional study on lobster populations that the WWF is making, a 15 day expedition has been organized to the Miskito Cays off the Honduran and Nicaraguan coasts. A dive instructor is required to attend this expedition that will be taking place from September 25th-October 10th, 2009. Transport, food and accommodation will be provided. If interested, please contact the RMP office in West End."
Information,Diving... The are candidates to learn to dive with Subway Watersports.... :)
Action,Good Morning :) there is still time to submit your photos for your chance to be in our 2015 calendar!!\nPlease send submissions and/or questions to photosrmp@gmail.com
Information,protecting our sharks
Community,"As posted above... lack of interest was not the correct term, it has been more like lack of participation! Monty Graham The staff members are constantly picking up trash. On our walks home, on our snorkel trips, with schools, with our volunteers... also we have 2 Instructors on our staff as well and a divemaster and being as such we clean up underwater on our dives as well! \n\nWe applaud you and your diveshop for cleaning as you teach and dive; but the truth of the matter is that not everyone does. \n\nThe reason this post semana santa cleanup came about is b/c people were complaining about the trash left behind in the whirlwind of unknowing tourists. The RMP is swamped but, if we have concerned community members we will try our best to accommodate them however, we ask that they (the complainers) also help out and be a part of the solution and not the problem. The cleanup has not been cancelled, but re-scheduled til Friday the 5th, 8-10\n\n That was the reason behind this post. \nThank you for your support"
Action,Come visit our Eco Store in West End
Action,"9 of us headed over to Camp  Bay last Friday -- caught some lionfish and enjoyed snorkeling in beautiful water...\n\nSign up for the next lionfish huntathon! Friday, July 2nd, we'll be going to Oak Ridge. 300 lempiras includes snorkel/spear equipment, drinks, and transportation. Expect to pay for lunch! Van leaves at 8:30am from the Marine Park office, we'll be back around 3 or 4pm. \n\nContact the marine park office (504) 445-4206 or 9841-4693."
Community,Eric George The program would be community based meaning that they would have to be on board to help with said campers. This would include night guards. Plus any money generated would stay in the community! We would be just the catalyst. \nThose kids were great! It was awesome to have their support and take them to Maya Key where the turtles were taken and in a couple months we will take them back!
Action,These are the bags that will be given to the first 5 people to bring in a bag of marine debris!
Action,Be on the look out for our sign up sheet for the Bay Islands Coastal Cleanup...Friday with the school meeting at the Miguel Paz Barahona at 7-11AM and Sunday meeting at the gas station at 9-1ish.
Community,Copyright Kelly Hale\r\nRoatan Marine Park  Annual Photo Competition 2011
Information,THE THING....
Community,"Our Director, Giaco was the RMP presentative at the 2014 Regional Meeting for HRI Partners! \n\nGreat job to everyone from the Mesoamerican Reef Region!"
Information,"Use what you have, where you are, to do what you can do to battle this plague of trash that we have brought upon ourselves and the planet! "
Information,"This graph indicates in $, through the sale of user fees and memberships, how much each dive shop within Sandy Bay, West End and West Bay, generated for the Marine Park in 2013. We would like to say a huge thank you to all our supporters, big and small, and comment that without your support, we would be unable to fulfil even the simplest of our programs"
Information,Thanks for you concern. We have been observing this activity all ready because its new for us. Now as your link says they are working on regulations in the States so you can imagine here we have none. We have approached the owner/instructor and expressed to him that our main concern is the safety of who does the activity. This is because its been done on the navigation area of West Bay. Environmentally the risk is to the turtle grass but what I have been seeing is that he stays within the sand patch. We have expressed to him that he needs to stay away from the coral reef.
